"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|EE","Without Sequence","24.35","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|EE","Without Sequence","23.98","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|EE","Without Sequence","23.72","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|EE","Without Sequence","23.73","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|EE","Without Sequence","24.06","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|EE","Without Sequence","24.44","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|EE","Without Sequence","24.93","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|EE","Without Sequence","24.90","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|EE","Without Sequence","25.07","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|EE","Without Sequence","30.02","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|EE","Without Sequence","37.14","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|EE","Without Sequence","39.05","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|EE","Without Sequence","40.59","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|EE","Without Sequence","40.79","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|EE","Without Sequence","45.47","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|EE","Without Sequence","51.72","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|EE","Without Sequence","55.39","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|EE","Without Sequence","53.01","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|EE","Without Sequence","55.74","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|EE","Without Sequence","54.94","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|EE","Without Sequence","50.82","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|EE","Without Sequence","45.22","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|EE","Without Sequence","25.64","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|EE","Without Sequence","25.59","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|EE","Without Sequence","24.91","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|EE","Without Sequence","24.74","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|EE","Without Sequence","24.66","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|EE","Without Sequence","24.72","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|EE","Without Sequence","24.92","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|EE","Without Sequence","30.05","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|EE","Without Sequence","26.19","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|EE","Without Sequence","43.30","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|EE","Without Sequence","47.85","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|EE","Without Sequence","50.75","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|EE","Without Sequence","50.90","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|EE","Without Sequence","53.75","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|EE","Without Sequence","50.75","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|EE","Without Sequence","49.48","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|EE","Without Sequence","52.16","",""
