"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|EE","Without Sequence","41.33","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|EE","Without Sequence","42.18","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|EE","Without Sequence","44.37","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|EE","Without Sequence","37.67","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|EE","Without Sequence","39.70","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|EE","Without Sequence","40.59","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|EE","Without Sequence","43.26","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|EE","Without Sequence","49.66","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|EE","Without Sequence","70.05","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|EE","Without Sequence","76.79","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|EE","Without Sequence","84.10","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|EE","Without Sequence","94.74","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|EE","Without Sequence","96.80","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|EE","Without Sequence","97.17","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|EE","Without Sequence","101.27","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|EE","Without Sequence","126.60","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|EE","Without Sequence","149.97","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|EE","Without Sequence","146.33","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|EE","Without Sequence","140.28","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|EE","Without Sequence","121.88","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|EE","Without Sequence","102.61","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|EE","Without Sequence","97.46","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|EE","Without Sequence","85.16","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|EE","Without Sequence","57.08","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|EE","Without Sequence","55.09","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|EE","Without Sequence","52.82","",""
