"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|SE4","Without Sequence","28.46","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|SE4","Without Sequence","26.66","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|SE4","Without Sequence","24.48","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|SE4","Without Sequence","24.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|SE4","Without Sequence","21.23","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|SE4","Without Sequence","22.62","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|SE4","Without Sequence","25.04","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|SE4","Without Sequence","26.24","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|SE4","Without Sequence","32.21","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|SE4","Without Sequence","41.34","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|SE4","Without Sequence","43.51","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|SE4","Without Sequence","43.02","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|SE4","Without Sequence","44.29","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|SE4","Without Sequence","46.24","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|SE4","Without Sequence","50.61","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|SE4","Without Sequence","59.47","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|SE4","Without Sequence","64.99","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|SE4","Without Sequence","61.74","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|SE4","Without Sequence","55.07","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|SE4","Without Sequence","48.01","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|SE4","Without Sequence","44.01","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|SE4","Without Sequence","45.20","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|SE4","Without Sequence","38.00","",""
